Entidades,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020
,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Tercer trimestre,Cuarto trimestre
Nacional,3851539,4005643,4031690,4161460,3736911,3938961,4094735,4245630,3858211,4263244,4260852,4523499,3929274,4382475,4238887,4422299,4064948,4260572,4215779,4244856,4217608,4340767,4301178,4514152,4249943,4425568,4500669,4377379,4412437,4459941,4661075,4552195,4433570,4614597,4606418,4625906,4529138,4698710,4824827,4898315,4591388,3608103,4182736
Aguascalientes,34347,40943,41044,37684,36065,37770,39996,38535,32852,40741,40199,39165,36859,44551,48252,44625,37996,40202,39333,36864,38894,42588,40017,37116,40429,45802,45721,41458,39141,43764,45110,43646,40969,43549,47054,40936,42219,42137,41785,42580,41139,39537,43494
Baja California,97116,103309,104679,107546,90571,94899,114487,125947,101208,124226,129220,122343,88630,118162,104798,111905,86937,97729,93896,94560,96455,100250,91874,111995,102769,104920,96005,108624,87462,110919,105981,110303,89888,105424,116411,117321,89227,115811,125751,121407,110058,97639,79669
Baja California Sur,18946,19303,20862,16208,19384,18711,19326,20868,18288,22733,22862,21991,21993,22959,17705,20151,25469,21156,21453,24347,21170,26869,27006,25535,23975,24443,25571,24750,26195,24874,22236,28278,31272,30581,29810,27618,26486,29881,27902,26294,24167,17646,16764
Campeche,21322,23887,23391,22403,22706,22698,22938,25530,24033,26010,26619,27643,22162,24103,27453,28904,25394,26904,29358,28432,23106,29776,27742,32138,26338,26696,28129,28545,26847,32364,34679,31045,30968,29006,31613,31221,26090,25008,31746,32653,32165,18536,23840
Coahuila de Zaragoza,53128,65238,62744,59438,55101,68994,68040,71824,56967,61044,63978,59244,62830,75530,67060,78737,60513,64440,66612,62145,52892,59647,64338,64152,60106,55642,69873,58502,70474,68762,67780,66653,68506,62385,58436,56760,62571,58448,61397,50000,48336,45720,50056
Colima,23696,26190,29183,32904,25084,33758,32417,31829,29092,31832,34978,34610,31525,34953,33895,33442,32317,35834,36605,35092,33698,36438,34614,33938,35475,36003,34143,29971,32767,36423,35165,34574,33941,36226,33751,36369,31951,37157,38955,41955,36166,33380,33995
Chiapas,118760,133620,117820,130935,130363,119999,120331,128146,121349,137416,121537,140057,132589,117514,127679,122551,116546,116596,133554,143780,140327,131949,129273,132893,132500,135553,157092,129199,135257,118093,126659,129891,143464,114551,115355,124453,124558,141237,145311,165965,154306,123543,134557
